run_id,tension,prompt_type,model,option_chosen,hybrid_trap,adversarial_compliance,central_argument_phrase,confidence_marker,notes
1,T1_differentiation_commoditization,A_generic,GPT,,,,,,
2,T1_differentiation_commoditization,A_generic,GPT,,,,,,
3,T1_differentiation_commoditization,A_generic,GPT,,,,,,
4,T1_differentiation_commoditization,A_generic,GPT,,,,,,
5,T1_differentiation_commoditization,A_generic,GPT,,,,,,
6,T1_differentiation_commoditization,A_generic,GPT,,,,,,
7,T1_differentiation_commoditization,A_generic,GPT,,,,,,
8,T1_differentiation_commoditization,A_generic,GPT,,,,,,
9,T1_differentiation_commoditization,A_generic,GPT,,,,,,
10,T1_differentiation_commoditization,A_generic,GPT,,,,,,
11,T1_differentiation_commoditization,A_generic,Claude,,,,,,
12,T1_differentiation_commoditization,A_generic,Claude,,,,,,
13,T1_differentiation_commoditization,A_generic,Claude,,,,,,
14,T1_differentiation_commoditization,A_generic,Claude,,,,,,
15,T1_differentiation_commoditization,A_generic,Claude,,,,,,
16,T1_differentiation_commoditization,A_generic,Claude,,,,,,
17,T1_differentiation_commoditization,A_generic,Claude,,,,,,
18,T1_differentiation_commoditization,A_generic,Claude,,,,,,
19,T1_differentiation_commoditization,A_generic,Claude,,,,,,
20,T1_differentiation_commoditization,A_generic,Claude,,,,,,
21,T1_differentiation_commoditization,B_specific,GPT,,,,,,
22,T1_differentiation_commoditization,B_specific,GPT,,,,,,
23,T1_differentiation_commoditization,B_specific,GPT,,,,,,
24,T1_differentiation_commoditization,B_specific,GPT,,,,,,
25,T1_differentiation_commoditization,B_specific,GPT,,,,,,
26,T1_differentiation_commoditization,B_specific,GPT,,,,,,
27,T1_differentiation_commoditization,B_specific,GPT,,,,,,
28,T1_differentiation_commoditization,B_specific,GPT,,,,,,
29,T1_differentiation_commoditization,B_specific,GPT,,,,,,
30,T1_differentiation_commoditization,B_specific,GPT,,,,,,
31,T1_differentiation_commoditization,B_specific,Claude,,,,,,
32,T1_differentiation_commoditization,B_specific,Claude,,,,,,
33,T1_differentiation_commoditization,B_specific,Claude,,,,,,
34,T1_differentiation_commoditization,B_specific,Claude,,,,,,
35,T1_differentiation_commoditization,B_specific,Claude,,,,,,
36,T1_differentiation_commoditization,B_specific,Claude,,,,,,
37,T1_differentiation_commoditization,B_specific,Claude,,,,,,
38,T1_differentiation_commoditization,B_specific,Claude,,,,,,
39,T1_differentiation_commoditization,B_specific,Claude,,,,,,
40,T1_differentiation_commoditization,B_specific,Claude,,,,,,
41,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
42,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
43,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
44,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
45,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
46,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
47,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
48,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
49,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
50,T1_differentiation_commoditization,C_adversarial,GPT,,,,,,
51,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
52,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
53,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
54,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
55,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
56,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
57,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
58,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
59,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
60,T1_differentiation_commoditization,C_adversarial,Claude,,,,,,
61,T2_augmentation_automation,A_generic,GPT,,,,,,
62,T2_augmentation_automation,A_generic,GPT,,,,,,
63,T2_augmentation_automation,A_generic,GPT,,,,,,
64,T2_augmentation_automation,A_generic,GPT,,,,,,
65,T2_augmentation_automation,A_generic,GPT,,,,,,
66,T2_augmentation_automation,A_generic,GPT,,,,,,
67,T2_augmentation_automation,A_generic,GPT,,,,,,
68,T2_augmentation_automation,A_generic,GPT,,,,,,
69,T2_augmentation_automation,A_generic,GPT,,,,,,
70,T2_augmentation_automation,A_generic,GPT,,,,,,
71,T2_augmentation_automation,A_generic,Claude,,,,,,
72,T2_augmentation_automation,A_generic,Claude,,,,,,
73,T2_augmentation_automation,A_generic,Claude,,,,,,
74,T2_augmentation_automation,A_generic,Claude,,,,,,
75,T2_augmentation_automation,A_generic,Claude,,,,,,
76,T2_augmentation_automation,A_generic,Claude,,,,,,
77,T2_augmentation_automation,A_generic,Claude,,,,,,
78,T2_augmentation_automation,A_generic,Claude,,,,,,
79,T2_augmentation_automation,A_generic,Claude,,,,,,
80,T2_augmentation_automation,A_generic,Claude,,,,,,
81,T2_augmentation_automation,B_specific,GPT,,,,,,
82,T2_augmentation_automation,B_specific,GPT,,,,,,
83,T2_augmentation_automation,B_specific,GPT,,,,,,
84,T2_augmentation_automation,B_specific,GPT,,,,,,
85,T2_augmentation_automation,B_specific,GPT,,,,,,
86,T2_augmentation_automation,B_specific,GPT,,,,,,
87,T2_augmentation_automation,B_specific,GPT,,,,,,
88,T2_augmentation_automation,B_specific,GPT,,,,,,
89,T2_augmentation_automation,B_specific,GPT,,,,,,
90,T2_augmentation_automation,B_specific,GPT,,,,,,
91,T2_augmentation_automation,B_specific,Claude,,,,,,
92,T2_augmentation_automation,B_specific,Claude,,,,,,
93,T2_augmentation_automation,B_specific,Claude,,,,,,
94,T2_augmentation_automation,B_specific,Claude,,,,,,
95,T2_augmentation_automation,B_specific,Claude,,,,,,
96,T2_augmentation_automation,B_specific,Claude,,,,,,
97,T2_augmentation_automation,B_specific,Claude,,,,,,
98,T2_augmentation_automation,B_specific,Claude,,,,,,
99,T2_augmentation_automation,B_specific,Claude,,,,,,
100,T2_augmentation_automation,B_specific,Claude,,,,,,
101,T2_augmentation_automation,C_adversarial,GPT,,,,,,
102,T2_augmentation_automation,C_adversarial,GPT,,,,,,
103,T2_augmentation_automation,C_adversarial,GPT,,,,,,
104,T2_augmentation_automation,C_adversarial,GPT,,,,,,
105,T2_augmentation_automation,C_adversarial,GPT,,,,,,
106,T2_augmentation_automation,C_adversarial,GPT,,,,,,
107,T2_augmentation_automation,C_adversarial,GPT,,,,,,
108,T2_augmentation_automation,C_adversarial,GPT,,,,,,
109,T2_augmentation_automation,C_adversarial,GPT,,,,,,
110,T2_augmentation_automation,C_adversarial,GPT,,,,,,
111,T2_augmentation_automation,C_adversarial,Claude,,,,,,
112,T2_augmentation_automation,C_adversarial,Claude,,,,,,
113,T2_augmentation_automation,C_adversarial,Claude,,,,,,
114,T2_augmentation_automation,C_adversarial,Claude,,,,,,
115,T2_augmentation_automation,C_adversarial,Claude,,,,,,
116,T2_augmentation_automation,C_adversarial,Claude,,,,,,
117,T2_augmentation_automation,C_adversarial,Claude,,,,,,
118,T2_augmentation_automation,C_adversarial,Claude,,,,,,
119,T2_augmentation_automation,C_adversarial,Claude,,,,,,
120,T2_augmentation_automation,C_adversarial,Claude,,,,,,
121,T3_longterm_shortterm,A_generic,GPT,,,,,,
122,T3_longterm_shortterm,A_generic,GPT,,,,,,
123,T3_longterm_shortterm,A_generic,GPT,,,,,,
124,T3_longterm_shortterm,A_generic,GPT,,,,,,
125,T3_longterm_shortterm,A_generic,GPT,,,,,,
126,T3_longterm_shortterm,A_generic,GPT,,,,,,
127,T3_longterm_shortterm,A_generic,GPT,,,,,,
128,T3_longterm_shortterm,A_generic,GPT,,,,,,
129,T3_longterm_shortterm,A_generic,GPT,,,,,,
130,T3_longterm_shortterm,A_generic,GPT,,,,,,
131,T3_longterm_shortterm,A_generic,Claude,,,,,,
132,T3_longterm_shortterm,A_generic,Claude,,,,,,
133,T3_longterm_shortterm,A_generic,Claude,,,,,,
134,T3_longterm_shortterm,A_generic,Claude,,,,,,
135,T3_longterm_shortterm,A_generic,Claude,,,,,,
136,T3_longterm_shortterm,A_generic,Claude,,,,,,
137,T3_longterm_shortterm,A_generic,Claude,,,,,,
138,T3_longterm_shortterm,A_generic,Claude,,,,,,
139,T3_longterm_shortterm,A_generic,Claude,,,,,,
140,T3_longterm_shortterm,A_generic,Claude,,,,,,
141,T3_longterm_shortterm,B_specific,GPT,,,,,,
142,T3_longterm_shortterm,B_specific,GPT,,,,,,
143,T3_longterm_shortterm,B_specific,GPT,,,,,,
144,T3_longterm_shortterm,B_specific,GPT,,,,,,
145,T3_longterm_shortterm,B_specific,GPT,,,,,,
146,T3_longterm_shortterm,B_specific,GPT,,,,,,
147,T3_longterm_shortterm,B_specific,GPT,,,,,,
148,T3_longterm_shortterm,B_specific,GPT,,,,,,
149,T3_longterm_shortterm,B_specific,GPT,,,,,,
150,T3_longterm_shortterm,B_specific,GPT,,,,,,
151,T3_longterm_shortterm,B_specific,Claude,,,,,,
152,T3_longterm_shortterm,B_specific,Claude,,,,,,
153,T3_longterm_shortterm,B_specific,Claude,,,,,,
154,T3_longterm_shortterm,B_specific,Claude,,,,,,
155,T3_longterm_shortterm,B_specific,Claude,,,,,,
156,T3_longterm_shortterm,B_specific,Claude,,,,,,
157,T3_longterm_shortterm,B_specific,Claude,,,,,,
158,T3_longterm_shortterm,B_specific,Claude,,,,,,
159,T3_longterm_shortterm,B_specific,Claude,,,,,,
160,T3_longterm_shortterm,B_specific,Claude,,,,,,
161,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
162,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
163,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
164,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
165,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
166,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
167,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
168,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
169,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
170,T3_longterm_shortterm,C_adversarial,GPT,,,,,,
171,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
172,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
173,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
174,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
175,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
176,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
177,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
178,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
179,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
180,T3_longterm_shortterm,C_adversarial,Claude,,,,,,
181,T4_collaboration_competition,A_generic,GPT,,,,,,
182,T4_collaboration_competition,A_generic,GPT,,,,,,
183,T4_collaboration_competition,A_generic,GPT,,,,,,
184,T4_collaboration_competition,A_generic,GPT,,,,,,
185,T4_collaboration_competition,A_generic,GPT,,,,,,
186,T4_collaboration_competition,A_generic,GPT,,,,,,
187,T4_collaboration_competition,A_generic,GPT,,,,,,
188,T4_collaboration_competition,A_generic,GPT,,,,,,
189,T4_collaboration_competition,A_generic,GPT,,,,,,
190,T4_collaboration_competition,A_generic,GPT,,,,,,
191,T4_collaboration_competition,A_generic,Claude,,,,,,
192,T4_collaboration_competition,A_generic,Claude,,,,,,
193,T4_collaboration_competition,A_generic,Claude,,,,,,
194,T4_collaboration_competition,A_generic,Claude,,,,,,
195,T4_collaboration_competition,A_generic,Claude,,,,,,
196,T4_collaboration_competition,A_generic,Claude,,,,,,
197,T4_collaboration_competition,A_generic,Claude,,,,,,
198,T4_collaboration_competition,A_generic,Claude,,,,,,
199,T4_collaboration_competition,A_generic,Claude,,,,,,
200,T4_collaboration_competition,A_generic,Claude,,,,,,
201,T4_collaboration_competition,B_specific,GPT,,,,,,
202,T4_collaboration_competition,B_specific,GPT,,,,,,
203,T4_collaboration_competition,B_specific,GPT,,,,,,
204,T4_collaboration_competition,B_specific,GPT,,,,,,
205,T4_collaboration_competition,B_specific,GPT,,,,,,
206,T4_collaboration_competition,B_specific,GPT,,,,,,
207,T4_collaboration_competition,B_specific,GPT,,,,,,
208,T4_collaboration_competition,B_specific,GPT,,,,,,
209,T4_collaboration_competition,B_specific,GPT,,,,,,
210,T4_collaboration_competition,B_specific,GPT,,,,,,
211,T4_collaboration_competition,B_specific,Claude,,,,,,
212,T4_collaboration_competition,B_specific,Claude,,,,,,
213,T4_collaboration_competition,B_specific,Claude,,,,,,
214,T4_collaboration_competition,B_specific,Claude,,,,,,
215,T4_collaboration_competition,B_specific,Claude,,,,,,
216,T4_collaboration_competition,B_specific,Claude,,,,,,
217,T4_collaboration_competition,B_specific,Claude,,,,,,
218,T4_collaboration_competition,B_specific,Claude,,,,,,
219,T4_collaboration_competition,B_specific,Claude,,,,,,
220,T4_collaboration_competition,B_specific,Claude,,,,,,
221,T4_collaboration_competition,C_adversarial,GPT,,,,,,
222,T4_collaboration_competition,C_adversarial,GPT,,,,,,
223,T4_collaboration_competition,C_adversarial,GPT,,,,,,
224,T4_collaboration_competition,C_adversarial,GPT,,,,,,
225,T4_collaboration_competition,C_adversarial,GPT,,,,,,
226,T4_collaboration_competition,C_adversarial,GPT,,,,,,
227,T4_collaboration_competition,C_adversarial,GPT,,,,,,
228,T4_collaboration_competition,C_adversarial,GPT,,,,,,
229,T4_collaboration_competition,C_adversarial,GPT,,,,,,
230,T4_collaboration_competition,C_adversarial,GPT,,,,,,
231,T4_collaboration_competition,C_adversarial,Claude,,,,,,
232,T4_collaboration_competition,C_adversarial,Claude,,,,,,
233,T4_collaboration_competition,C_adversarial,Claude,,,,,,
234,T4_collaboration_competition,C_adversarial,Claude,,,,,,
235,T4_collaboration_competition,C_adversarial,Claude,,,,,,
236,T4_collaboration_competition,C_adversarial,Claude,,,,,,
237,T4_collaboration_competition,C_adversarial,Claude,,,,,,
238,T4_collaboration_competition,C_adversarial,Claude,,,,,,
239,T4_collaboration_competition,C_adversarial,Claude,,,,,,
240,T4_collaboration_competition,C_adversarial,Claude,,,,,,
